postcode;plaats;provincie;gemeente;nummer;latitude;longitude;nummer2
9435;Bruntinge;Drenthe;Midden-Drenthe;1731;52.8167;6.5833;4
9436;Mantinge;Drenthe;Midden-Drenthe;1731;52.8042;6.6153;4
9437;Balinge;Drenthe;Midden-Drenthe;1731;52.8108;6.6292;4
9438;Garminge;Drenthe;Midden-Drenthe;1731;52.82;6.625;4
9439;Witteveen (Midden-Drenthe);Drenthe;Midden-Drenthe;1731;52.8133;6.6611;4
9441;Orvelte;Drenthe;Midden-Drenthe;1731;52.8442;6.6597;4
9442;Elp;Drenthe;Midden-Drenthe;1731;52.8817;6.6458;4
3110;Schiedam postbusnummers;Drenthe;;;51.6929;4.3861;1
3112;Schiedam-Oost;Drenthe;;;51.6929;4.3861;1
3113;Nieuw-Mathenesse;Drenthe;;;51.6929;4.3861;1
3114;Schiedam-Zuid;Drenthe;;;51.6929;4.3861;1
3116;Schiedam-West,;Drenthe;;;51.6929;4.3861;1
3117;Schiedam-West,;Drenthe;;;51.6929;4.3861;1
3118;Nieuwland,;Drenthe;;;51.6929;4.3861;1
3119;Nieuwland,;Drenthe;;;51.6929;4.3861;1
7915;Alteveer (Hoogeveen);Drenthe;;;52.7124;6.5754;1
7965;Broekhuizen;Drenthe;;;52.7343;6.2875;1
9307;Steenbergen;Drenthe;;;53.1258;6.4289;1
9336;Huis ter Heide;Drenthe;;;53.0663;6.4636;1
9337;Westervelde;Drenthe;;;53.0663;6.4636;1
9340;Veenhuizen;Drenthe;;;53.0808;6.3674;1
9341;Veenhuizen;Drenthe;;;53.0808;6.3674;1
9459;Balloërveld;Drenthe;;;52.9722;6.6156;1
9488;Zeijerveld;Drenthe;;;53.0545;6.5997;1
9489;Zeijerveen;Drenthe;;;53.0545;6.5997;1
8461;Rottum;Friesland;Skarsterlân;0051;52.9333;5.9;4
8462;Rotsterhaule;Friesland;Skarsterlân;0051;52.9196;5.8518;4
8463;Rotsterhaule;Friesland;Skarsterlân;0051;52.9196;5.8518;4
8464;Sintjohannesga;Friesland;Skarsterlân;0051;52.9316;5.8559;4
8465;Oudehaske;Friesland;Skarsterlân;0051;52.9571;5.8709;4
8467;Vegelinsoord;Friesland;Skarsterlân;0051;52.9999;5.8647;4
8468;Haskerdijken;Friesland;Skarsterlân;0051;52.993;5.8785;4
8500;Joure;Friesland;Skarsterlân;0051;52.9657;5.803;4
8501;Joure;Friesland;Skarsterlân;0051;52.9657;5.803;4
8502;Joure;Friesland;Skarsterlân;0051;52.9657;5.803;4
8503;Joure;Friesland;Skarsterlân;0051;52.9657;5.803;4
8505;Snikzwaag;Friesland;Skarsterlân;0051;52.9839;5.7886;4
8506;Haskerhorne;Friesland;Skarsterlân;0051;52.9535;5.8294;4
8511;Goïngarijp;Friesland;Skarsterlân;0051;53.0117;5.7715;4
8513;Ouwsterhaule;Friesland;Skarsterlân;0051;52.9382;5.8136;4
8514;Ouwster-Nijega;Friesland;Skarsterlân;0051;52.9301;5.8047;4
8515;Oldeouwer;Friesland;Skarsterlân;0051;52.9167;5.8;4
8516;Doniaga;Friesland;Skarsterlân;0051;52.9075;5.7479;4
8517;Scharsterbrug;Friesland;Skarsterlân;0051;52.9441;5.7789;4
8520;Sint Nicolaasga;Friesland;Skarsterlân;0051;52.9229;5.7424;4
8521;Sint Nicolaasga;Friesland;Skarsterlân;0051;52.9229;5.7424;4
8523;Idskenhuizen;Friesland;Skarsterlân;0051;52.9288;5.7132;4
8524;Teroele;Friesland;Skarsterlân;0051;52.9353;5.6931;4
8525;Langweer;Friesland;Skarsterlân;0051;52.9584;5.7217;4
8526;Boornzwaag;Friesland;Skarsterlân;0051;52.9589;5.7443;4
8527;Legemeer;Friesland;Skarsterlân;0051;52.9407;5.7287;4
8528;Dijken;Friesland;Skarsterlân;0051;52.9509;5.7094;4
8541;Akmarijp;Friesland;Skarsterlân;0051;53.0033;5.7889;4
8542;Terkaple;Friesland;Skarsterlân;0051;53.0209;5.7842;4
8757;Gaast;Friesland;Skarsterlân;0051;52.9;5.8899;4
8490;Akkrum;Friesland;Boarnsterhim;0055;53.05;5.8333;4
8491;Akkrum;Friesland;Boarnsterhim;0055;53.05;5.8333;4
8493;Terhorne;Friesland;Boarnsterhim;0055;53.0333;5.7833;4
8495;Oldeboorn;Friesland;Boarnsterhim;0055;53.05;5.9;4
