postcode;provincie;gemeente;lat;long
9439;Witteveen (Midden-Drenthe);Drenthe;Midden-Drenthe;528.133;66.611
9441;Orvelte;Drenthe;Midden-Drenthe;528.442;66.597
9442;Elp;Drenthe;Midden-Drenthe;528.817;66.458
3110;Schiedam postbusnummers;Drenthe;516.929;43.861
3112;Schiedam-Oost;Drenthe;516.929;43.861
3113;Nieuw-Mathenesse;Drenthe;516.929;43.861
3114;Schiedam-Zuid;Drenthe;516.929;43.861
3116;Schiedam-West,;Drenthe;516.929;43.861
3117;Schiedam-West,;Drenthe;516.929;43.861
3118;Nieuwland,;Drenthe;516.929;43.861
3119;Nieuwland,;Drenthe;516.929;43.861
7915;Alteveer (Hoogeveen);Drenthe;527.124;65.754
7965;Broekhuizen;Drenthe;527.343;62.875
9307;Steenbergen;Drenthe;531.258;64.289
9336;Huis ter Heide;Drenthe;530.663;64.636
9337;Westervelde;Drenthe;530.663;64.636
9340;Veenhuizen;Drenthe;530.808;63.674
9341;Veenhuizen;Drenthe;530.808;63.674
9459;Balloërveld;Drenthe;529.722;66.156
9488;Zeijerveld;Drenthe;530.545;65.997
9489;Zeijerveen;Drenthe;530.545;65.997
8461;Rottum;Friesland;Skarsterlân;529.333;5.9
8462;Rotsterhaule;Friesland;Skarsterlân;529.196;58.518
8463;Rotsterhaule;Friesland;Skarsterlân;529.196;58.518
8464;Sintjohannesga;Friesland;Skarsterlân;529.316;58.559
8465;Oudehaske;Friesland;Skarsterlân;529.571;58.709
8467;Vegelinsoord;Friesland;Skarsterlân;529.999;58.647
8468;Haskerdijken;Friesland;Skarsterlân;52.993;58.785
8500;Joure;Friesland;Skarsterlân;529.657;5.803
8501;Joure;Friesland;Skarsterlân;529.657;5.803
8502;Joure;Friesland;Skarsterlân;529.657;5.803
8503;Joure;Friesland;Skarsterlân;529.657;5.803
8505;Snikzwaag;Friesland;Skarsterlân;529.839;57.886
8506;Haskerhorne;Friesland;Skarsterlân;529.535;58.294
8511;Goïngarijp;Friesland;Skarsterlân;530.117;57.715
8513;Ouwsterhaule;Friesland;Skarsterlân;529.382;58.136
8514;Ouwster-Nijega;Friesland;Skarsterlân;529.301;58.047
8515;Oldeouwer;Friesland;Skarsterlân;529.167;5.8
8516;Doniaga;Friesland;Skarsterlân;529.075;57.479
8517;Scharsterbrug;Friesland;Skarsterlân;529.441;57.789
8520;Sint Nicolaasga;Friesland;Skarsterlân;529.229;57.424
8521;Sint Nicolaasga;Friesland;Skarsterlân;529.229;57.424
8523;Idskenhuizen;Friesland;Skarsterlân;529.288;57.132
8524;Teroele;Friesland;Skarsterlân;529.353;56.931
8525;Langweer;Friesland;Skarsterlân;529.584;57.217
8526;Boornzwaag;Friesland;Skarsterlân;529.589;57.443
8527;Legemeer;Friesland;Skarsterlân;529.407;57.287
8528;Dijken;Friesland;Skarsterlân;529.509;57.094
8541;Akmarijp;Friesland;Skarsterlân;530.033;57.889
8542;Terkaple;Friesland;Skarsterlân;530.209;57.842
8757;Gaast;Friesland;Skarsterlân;52.9;58.899
8490;Akkrum;Friesland;Boarnsterhim;53.05;58.333
8491;Akkrum;Friesland;Boarnsterhim;53.05;58.333
8493;Terhorne;Friesland;Boarnsterhim;530.333;57.833
8495;Oldeboorn;Friesland;Boarnsterhim;53.05;5.9
8644;Deersum;Friesland;Boarnsterhim;53.087;57.153
8647;Sijbrandaburen;Friesland;Boarnsterhim;530.667;57.167
9000;Grouw (Grou);Friesland;Boarnsterhim;53.1;58.333
9001;Grouw (Grou);Friesland;Boarnsterhim;53.1;58.333
9003;Wartena (Warten);Friesland;Boarnsterhim;53.15;5.9
9004;Warstiens;Friesland;Boarnsterhim;531.607;58.622
9005;Warga (Wergea);Friesland;Boarnsterhim;531.515;5.844
9006;Aegum (Eagum);Friesland;Boarnsterhim;531.298;58.282
9007;Idaard (Idaerd);Friesland;Boarnsterhim;53.118;58.149
9008;Roordahuizum (Reduzum);Friesland;Boarnsterhim;531.178;57.876
9009;Friens;Friesland;Boarnsterhim;530.992;57.991
9010;Irnsum (Jirnsum);Friesland;Boarnsterhim;530.775;57.925
9011;Irnsum (Jirnsum);Friesland;Boarnsterhim;530.775;57.925
9012;Rauwerd (Raerd);Friesland;Boarnsterhim;530.976;57.599
9013;Poppingawier (Poppenwier);Friesland;Boarnsterhim;530.833;5.75
9014;Terzool (Tersoal);Friesland;Boarnsterhim;530.745;57.368
8845;Waaksens;Friesland;Dongeradeel;53.355;59.213
9100;Dokkum;Friesland;Dongeradeel;533.333;6
9101;Dokkum;Friesland;Dongeradeel;533.333;6
9102;Dokkum;Friesland;Dongeradeel;533.333;6
9103;Dokkum;Friesland;Dongeradeel;533.333;6
9121;Aalsum (Aalzum);Friesland;Dongeradeel;533.392;60.033
9122;Wetsens;Friesland;Dongeradeel;533.469;60.336
9123;Metslawier;Friesland;Dongeradeel;533.599;6.067
9124;Jouswier;Friesland;Dongeradeel;533.502;60.741
9125;Oostrum;Friesland;Dongeradeel;533.308;60.617
9130;Ee;Friesland;Dongeradeel;533.303;61.003
9131;Ee;Friesland;Dongeradeel;533.303;61.003
9132;Engwierum;Friesland;Dongeradeel;533.212;61.362
9133;Anjum;Friesland;Dongeradeel;533.748;6.127
9134;Lioessens;Friesland;Dongeradeel;533.806;60.876
9135;Morra;Friesland;Dongeradeel;533.732;6.089
9136;Paesens;Friesland;Dongeradeel;534.015;60.858
9137;Oosternijkerk;Friesland;Dongeradeel;533.784;60.535
9138;Niawier;Friesland;Dongeradeel;533.634;60.473
9141;Wierum;Friesland;Dongeradeel;53.4;60.167
9142;Moddergat;Friesland;Dongeradeel;534.023;60.826
9144;Hantumhuizen;Friesland;Dongeradeel;533.714;59.997
9145;Ternaard;Friesland;Dongeradeel;53.382;59.652
9146;Hantumeruitburen;Friesland;Dongeradeel;533.606;60.033
9147;Hantum;Friesland;Dongeradeel;533.627;59.645
9148;Hiaure;Friesland;Dongeradeel;533.473;59.723
9150;Holwerd;Friesland;Dongeradeel;533.681;59.007
9151;Holwerd;Friesland;Dongeradeel;533.681;59.007
9152;Waaxens;Friesland;Dongeradeel;53.355;59.213
9153;Brantgum;Friesland;Dongeradeel;533.521;59.301
9154;Foudgum;Friesland;Dongeradeel;53.345;59.421
9155;Raard;Friesland;Dongeradeel;533.258;59.445
9156;Bornwird;Friesland;Dongeradeel;533.338;59.541
9230;Surhuisterveen (Surhústerfean);Friesland;Achtkarspelen;531.833;61.667
9231;Surhuisterveen (Surhústerfean);Friesland;Achtkarspelen;531.833;61.667
9233;Boelenslaan (Boelensloane);Friesland;Achtkarspelen;531.617;61.448
9280;Harkema (De Harkema);Friesland;Achtkarspelen;531.833;61.333
9281;Harkema (De Harkema);Friesland;Achtkarspelen;531.833;61.333
9283;Surhuizum (Surhuzum);Friesland;Achtkarspelen;532.047;61.798
9284;Augustinusga (Stynsgea);Friesland;Achtkarspelen;532.179;61.617
9285;Buitenpost (Bûtenpost);Friesland;Achtkarspelen;532.517;61.448
9286;Twijzel (Twizel);Friesland;Achtkarspelen;532.315;60.895
9287;Twijzelerheide (Twizelerheide);Friesland;Achtkarspelen;532.402;60.459
